Component;Quantity;Farnell;Link to buy;PRICE (€);;;;;;;;;
Chasis + 4 wheels + 4 engines;1;;;247.64;;;;;;;;;
Encoder Lynxmotion;2;;https://www.robotshop.com/es/es/codificador-motor-cuadratura-v2-lynxmotion-con-cable.html;69.44;;;;;;;;;
Arduino Mega 2560;1;;;16.95;;;;;;;;;
Fuse holder;1;;;0.5;;;;;;;;;
Fuse 4A;1;;;0.1;;;;;;;;;
Connector 2.5mm;1;;;1.06;;;;;;;;;
Rechargeable battery NiMH 12 Vdc 2800 mAh;1;;;48.99;;;;;;;;;
Capacitor 1uF;1;2112910;;0.28;;;;;;;;;
Capacitor 220uF;1;1219481;;0.75;;;;;;;;;
Capacitor 10nF;4;1141772;;0.76;;;;;;;;;
Capacitor 1nF;2;1902259;;0.78;;;;;;;;;
LM18200T;2;1468979;;31.16;;;;;;;;;
ACS712-LC;2;1329623;;8.18;;;;;;;;;
Pin header 2X04;1;1593441;;0.04;;;;;;;;;
Connector AK500/2;2;2493622;;0.6;;;;;;;;;
Connector AK500/4-H;2;2490940;;3.8;;;;;;;;;
Pin header 1X08;4;;;1.32;;;;;;;;;
Pin header 1X10;1;;;0.4;;;;;;;;;
SparkFun GPS Logger Shield;1;;;49.95;;;;;;;;;
;;;TOTAL;482.7;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;TOTAL
